TrainNo,TrainName,SourceStation,DestinationStation,Sunday,Monday,tuesday,Wednesday,thursday,Friday,Saturday
12013,NDLS-ASR SHAtABDI EXP,NDLS,ASR,y,y,y,y,y,y,y
12014,ASR-NDLS SHAtABDI EXP,ASR,NDLS,y,y,y,y,y,y,y
12015,NDLS-AII SHAtABDI EXP,NDLS,AII,y,y,y,y,y,y,y
12016,AII-NDLS SHAtABDI EXP,AII,NDLS,y,y,y,y,y,y,y
12017,NDLS-DDN SHAtABDI EXP,NDLS,DDN,y,y,y,y,y,y,y
12018,DDN-NDLS SHAtABDI EXP,DDN,NDLS,y,y,y,y,y,y,y
12019,HOWRAH RANCHI SHAtABDI EX,HWH,RNC,,y,y,y,y,y,y
12020,RNC HWH SHAtABDI EXP,RNC,HWH,,y,y,y,y,y,y
12021,HOWRAH-BARABIL JAN SHAtAB,HWH,BBN,y,y,y,y,y,y,y
12022,BARABIL-HOWRAH JAN SHAtAB,BBN,HWH,y,y,y,y,y,y,y
12023,HOWRAH PAtNA JANSHAtABDI,HWH,PNBE,,y,y,y,y,y,y
12024,PAtNA HOWRAH JANSHAtABDI,PNBE,HWH,,y,y,y,y,y,y
12025,PUNE-SC SHAtABDI,PUNE,SC,y,y,,y,y,y,y
12026,SC-PUNE SHAtABDI,SC,PUNE,y,y,,y,y,y,y
12027,MAS-SBC SHAtABDI EXP,MAS,SBC,y,y,,y,y,y,y
12028,SBC-MAS SHAtABDI EXP,SBC,MAS,y,y,,y,y,y,y
12029,SWARNA SHAtABDI EXPRESS,NDLS,ASR,y,y,y,y,,y,y
12030,SWARNA SHAtABDI EXPRESS,ASR,NDLS,y,y,y,y,,y,y
12031,NDLS-ASR-SHAtABADI EXP,NDLS,ASR,,,,,y,,
12032,ASR-NDLS SHAtABDI EXP,ASR,NDLS,,,,,y,,
12033,CNB NDLS SHt,CNB,NDLS,,y,y,y,y,y,y
12034,NDLS CNB SHAtABDI,NDLS,CNB,,y,y,y,y,y,y
12035,JP AF SHAtABDI,JP,AF,y,y,y,y,,y,y
12036,AF JP SHAtABDI,AF,JP,y,y,y,y,,y,y
